center_x,center_y,radius,color_r,color_g,color_b,confidence
636.0,918.0,379.0,162,164,165,64.0
474.0,910.0,346.0,154,151,151,70.0
458.0,864.0,346.0,155,153,149,59.7
596.0,828.0,332.0,144,141,133,62.6
1214.0,906.0,323.0,76,76,85,68.4
574.0,888.0,309.0,129,126,129,73.0
1176.0,1178.0,309.0,139,102,92,61.1
1230.0,980.0,308.0,59,48,57,66.9
1302.0,912.0,304.0,68,67,69,65.5
1294.0,976.0,297.0,58,44,51,71.5
554.0,846.0,288.0,112,114,111,76.2
1150.0,996.0,278.0,66,59,70,56.9
1214.0,1200.0,265.0,140,88,80,91.1
596.0,922.0,265.0,101,93,106,52.9
1268.0,944.0,258.0,1,1,1,94.6
508.0,838.0,228.0,62,71,63,74.6
372.0,1336.0,228.0,220,202,137,54.2
390.0,1376.0,228.0,204,184,120,51.6
514.0,620.0,227.0,186,173,113,55.6
1250.0,1224.0,223.0,147,91,85,58.3
1102.0,946.0,209.0,44,56,72,84.3
1102.0,1394.0,183.0,238,206,95,98.2
556.0,602.0,183.0,207,180,83,96.4
524.0,882.0,182.0,0,0,0,100.0
346.0,1372.0,182.0,223,193,89,89.4
652.0,1506.0,129.0,181,79,131,82.6
1006.0,330.0,129.0,196,170,80,81.0
812.0,350.0,128.0,179,87,121,86.0
630.0,1062.0,128.0,151,65,109,79.4
958.0,466.0,128.0,169,187,184,77.8
892.0,202.0,118.0,2,2,2,92.9
490.0,1568.0,117.0,1,0,1,87.7
536.0,1434.0,95.0,144,119,116,50.3
